Datetime,Gpu,CC,SMS,Resolution,Scene,Filter,PostFX Settings,GPU Primary (ms),GPU PostFX (ms),GPU Total (ms),CPU Primary (ms),CPU PostFX (ms),CPU Total (ms),MPx,GPU MPx (s),CPU MPx (s),PostFX (bytes),GPU PostFX (GB/s),GPU Grid X,GPU Grid Y,GPU Block X,GPU Block Y,Seed,Repeats,RunIndex,CRC_GPU_RAW,CRC_CPU_RAW,GPU Time AVG,GPU Deviation,GPU Mean,CPU Time AVG,CPU Deviation,CPU Mean,Speedup
10/26/2025 18:47,NVIDIA GeForce RTX 4090,8.9,128,640x480,Cornell,Off,OFF,0.159,NaN,0.159,977.542,NaN,977.542,0.31,1935.48,0.31,0,NaN,40,20,16,24,0,1,0,0x0,0x0,0.1652,0.003701351,0.165 ± 0.004,960.4232,15.1882546,960.4 ± 15.2,5813.7
10/26/2025 18:47,NVIDIA GeForce RTX 4090,8.9,128,640x480,Cornell,Off,OFF,0.165,NaN,0.165,976.506,NaN,976.506,0.31,1863.35,0.31,0,NaN,40,20,16,24,0,1,0,0x0,0x0,,,,,,,
10/26/2025 18:48,NVIDIA GeForce RTX 4090,8.9,128,640x480,Cornell,Off,OFF,0.168,NaN,0.168,950.492,NaN,950.492,0.31,1832.41,0.32,0,NaN,40,20,16,24,0,1,0,0x0,0x0,,,,,,,
10/26/2025 18:48,NVIDIA GeForce RTX 4090,8.9,128,640x480,Cornell,Off,OFF,0.166,NaN,0.166,947.883,NaN,947.883,0.31,1851.85,0.32,0,NaN,40,20,16,24,0,1,0,0x0,0x0,,,,,,,
10/26/2025 18:48,NVIDIA GeForce RTX 4090,8.9,128,640x480,Cornell,Off,OFF,0.168,NaN,0.168,949.693,NaN,949.693,0.31,1829.62,0.32,0,NaN,40,20,16,24,0,1,0,0x0,0x0,,,,,,,
10/26/2025 19:13,NVIDIA GeForce RTX 4090,8.9,128,1280x720,Cornell,Off,OFF,0.356,NaN,0.356,2726.094,NaN,2726.094,0.92,2586.21,0.34,0,NaN,80,30,16,24,0,1,0,0x0,0x0,0.3566,0.004615192,0.357 ± 0.005,2726.6658,20.48975962,2726.7 ± 20.5,7646.3
10/26/2025 19:14,NVIDIA GeForce RTX 4090,8.9,128,1280x720,Cornell,Off,OFF,0.359,NaN,0.359,2710.836,NaN,2710.836,0.92,2564.1,0.34,0,NaN,80,30,16,24,0,1,0,0x0,0x0,,,,,,,
10/26/2025 19:14,NVIDIA GeForce RTX 4090,8.9,128,1280x720,Cornell,Off,OFF,0.361,NaN,0.361,2760.584,NaN,2760.584,0.92,2549.57,0.33,0,NaN,80,30,16,24,0,1,0,0x0,0x0,,,,,,,
10/26/2025 19:14,NVIDIA GeForce RTX 4090,8.9,128,1280x720,Cornell,Off,OFF,0.349,NaN,0.349,2725.799,NaN,2725.799,0.92,2639.3,0.34,0,NaN,80,30,16,24,0,1,0,0x0,0x0,,,,,,,
10/26/2025 19:14,NVIDIA GeForce RTX 4090,8.9,128,1280x720,Cornell,Off,OFF,0.358,NaN,0.358,2710.016,NaN,2710.016,0.92,2572.58,0.34,0,NaN,80,30,16,24,0,1,0,0x0,0x0,,,,,,,
